first_name	last_name	id	age	mayor selection	List Selection	arrival time
Gabriela	Mewton	571005324	19	Omri Sarig	Roots	28
Standford	Imison	893276370	30	Martin Abadi	Roots	28
Latia	Tripean	658890971	43	Roie Zivan	The Employees	24
Thadeus	Filipic	650353457	69	Omri Sarig	Roots	1
Clary	Banstead	270235364	50	Omri Sarig	The Future	9
Layla	Dahlen	942645434	50	Martin Abadi	The Employees	15
Byran	Everson	601882848	45	Martin Abadi	The Employees	15
Kay	Strattan	716969973	43	Roie Zivan	Togeather	24
Peyter	Gosnoll	266096841	55	Omri Sarig	Difference	15
Rosie	Ludman	708804285	33	Roie Zivan	Roots	14
Alyss	Krammer	792157586	74	Dolev Harbi	The Employees	24
Nicolai	Blonfield	815289866	35	Martin Abadi	The Future	9
Stuart	Hamner	588898771	39	Martin Abadi	Difference	8
Gal	Mattiello	524048924	47	Roie Zivan	The Employees	28
Kennith	Caird	871020542	45	Ben Rachmut	Difference	15
Livvy	Robatham	125870625	33	Dolev Harbi	Togeather	29
Salome	Carriage	870727183	64	Martin Abadi	Togeather	18
Niall	Furniss	366158185	27	Dolev Harbi	Difference	2
Heath	Geerits	355155658	47	Dolev Harbi	The Employees	15
Shalne	Godin	610199837	58	Martin Abadi	The Employees	28
Jasen	Toffetto	384162388	67	Roie Zivan	Togeather	8
Bobbe	Dyke	611427975	44	Ben Rachmut	Togeather	27
Andonis	Younghusband	876536024	27	Roie Zivan	Roots	13
Willa	Collinwood	214081529	40	Martin Abadi	The Employees	8
Valerie	Fobidge	891687464	46	Roie Zivan	Roots	22
Rasla	Pennino	951978948	50	Martin Abadi	Roots	6
Catharine	MacCardle	650729118	65	Roie Zivan	The Employees	25
Mira	Sollis	151213708	21	Ben Rachmut	Roots	8
Lilli	Rennock	459559234	22	Omri Sarig	The Employees	25
Valaree	Elsley	765676439	27	Martin Abadi	Roots	4
Hilarius	Forty	228548223	18	Dolev Harbi	Roots	7
Miguel	Klulisek	903801772	23	Roie Zivan	Roots	10
Andros	Lucien	680256093	67	Ben Rachmut	Togeather	18
Barbie	Lambregts	196151778	46	Dolev Harbi	The Future	3
Benjamen	Vatcher	467972308	67	Martin Abadi	Togeather	12
Bayard	Swepstone	229563370	17	Roie Zivan	Togeather	21
Thelma	Golsworthy	235884874	39	Dolev Harbi	The Employees	24
Gerhardine	Poletto	105531445	55	Martin Abadi	Difference	9
Ashby	Gomersall	816708080	24	Roie Zivan	Roots	14
Alyda	Baughen	223379587	72	Ben Rachmut	The Employees	24
Syd	Vowells	383450510	45	Dolev Harbi	The Future	12
Elmore	Dacombe	279591642	57	Dolev Harbi	The Employees	25
